date_opened,ticker,strategy,vol_filter,entry_signal,entry_score,entry_gate_flag,entry_price,regime_at_entry,rsi_at_entry,volume_ratio,kelly_fraction,position_size_gbp,date_closed,exit_reason,exit_price,stop_level,target_level,pnl_usd,return_pct,days_held,peak_gain,peak_loss,strategy_return,bh_return,market_ret_during_hold,notes
2005-10-23 19:00:00+00:00,WM,optimised_new,daily-rescreened,BUY,8.0,BUY,20.3148,0.9964,64.42,1.23,0.1,9629.2152,2005-10-31 00:00:00+00:00,"trailing_stop(3.1% from peak, still +4.8% from entry)",21.2916,18.6896,20314.7818,443.28176640000004,0.04808317089018829,7,0.08174335952113723,-0.03855809557563946,0.02855599237493145,0.05259665219934084,0.04808142415154082,
2005-10-23 20:00:00+00:00,GPN,optimised_new,daily-rescreened,BUY,6.0,BUY,21.0304,0.0127,56.45,1.39,0.1,8664.5248,2005-10-30 19:00:00+00:00,regime_forced(signal=-0.03),21.7323,19.348,21030.3971,271.564567599999,0.03337549452221538,6,0.03337549452221538,-0.04710799604382229,0.0013790700660716304,0.38089621685663966,0.03337671650624552,
2005-10-24 00:00:00+00:00,MTD,optimised_new,daily-rescreened,BUY,6.0,BUY,51.62,0.9793,50.75,1.8,0.1,7794.62,2005-11-10 00:00:00+00:00,"trailing_stop(3.1% from peak, still +8.5% from entry)",56.0,47.4904,51620.0,645.12938,0.08485083301046112,17,0.11968229368461845,-0.027152266563347443,0.013318222645381628,0.18104801080854926,0.08484850924005771,
2005-10-26 18:00:00+00:00,ACGL,optimised_new,daily-rescreened,BUY,8.0,BUY,5.5284,0.6973,58.97,1.59,0.1,8093.5776000000005,2005-11-03 00:00:00+00:00,"trailing_stop(4.9% from peak, still +4.0% from entry)",5.75,5.0861,5528.382,307.9108223999998,0.040083930251067136,7,0.09328196223138698,-0.042218363360104275,0.009664513155575927,0.20678103321584018,0.04008590049070415,
2005-10-26 22:00:00+00:00,CPT,optimised_new,daily-rescreened,BUY,7.0,BUY,35.3202,0.8637,50.45,1.3,0.1,7275.9612,2005-11-07 22:00:00+00:00,"trailing_stop(3.9% from peak, still +0.0% from entry)",35.3314,32.4946,35320.2022,-12.247029599999241,0.0003170989971744871,12,0.04123702583790574,-0.05666728953969683,0.00497818593439181,0.011312402066773863,0.000322480850755813,
2005-10-31 23:00:00+00:00,TAP,optimised_new,daily-rescreened,BUY,8.0,BUY,22.2039,0.9997,64.04,2.77,0.1,7638.1416,2005-11-03 21:00:00+00:00,"trailing_stop(3.4% from peak, still +0.6% from entry)",22.327,20.4276,22203.8853,27.027770400001298,0.0055440710866109496,2,0.04106035426208908,-0.006922207359968321,0.0005106321653989276,0.010724123460059909,0.005546243320710298,
2005-11-01 22:00:00+00:00,WM,optimised_new,daily-rescreened,BUY,6.0,BUY,21.7867,0.0711,56.95,1.57,0.1,6862.8105,2005-11-02 21:00:00+00:00,regime_forced(signal=-0.21),21.9193,20.0437,21786.6787,28.00161000000005,0.006086281997732564,0,0.028274130547535865,-0.031005154520877397,0.02427203812146006,0.08362730878307412,0.006086449360105828,
2005-11-06 18:00:00+00:00,IEX,optimised_new,daily-rescreened,BUY,8.0,BUY,23.5279,0.9849,57.18,1.55,0.1,9152.3531,2005-12-05 22:00:00+00:00,"trailing_stop(5.0% from peak, still +1.8% from entry)",23.9492,21.6457,23527.9373,145.41710810000066,0.017906400486231336,29,0.07204212870676943,-0.025191368545429072,0.010916317703784317,0.09085755241915905,0.0179033590265405,
2005-11-06 18:00:00+00:00,ACGL,optimised_new,daily-rescreened,BUY,6.0,BUY,5.6904,0.807,48.48,1.95,0.1,8256.770400000001,2005-11-13 21:00:00+00:00,"trailing_stop(4.4% from peak, still +5.5% from entry)",6.0053,5.2352,5690.3964,439.9494392999998,0.05533881625193303,7,0.10449177562210034,-0.006660340222128583,0.017869466748281493,0.2603613282799784,0.05533890101826011,
2005-11-08 20:00:00+00:00,CPT,optimised_new,daily-rescreened,BUY,8.0,BUY,35.8714,0.8552,52.22,1.52,0.1,8142.8078000000005,2005-11-15 19:00:00+00:00,"trailing_stop(3.2% from peak, still +1.3% from entry)",36.3365,33.0017,35871.3746,89.18650670000069,0.012965761024102756,6,0.0459781329973181,-0.01567265286551415,0.009013804753243315,0.04008172956678058,0.012967237902356876,
